customer_state,total_orders,avg_delivery_time_days,avg_delivery_delay_days,late_orders,total_revenue,avg_review_score,on_time_rate
AC,81,20.64,-20.72,3,15982.95,4.05,0.963
AL,411,24.04,-8.71,85,80314.81,3.76,0.7932
AM,147,25.99,-19.57,4,22356.84,4.22,0.9728
AP,68,26.73,-19.69,2,13474.3,4.19,0.9706
BA,3344,18.87,-10.79,396,507108.83,3.88,0.8816
CE,1323,20.82,-10.8,176,226264.06,3.88,0.867
DF,2121,12.51,-12.05,118,300886.45,4.09,0.9444
ES,2018,15.33,-10.5,214,273532.13,4.05,0.894
GO,1998,15.15,-12.19,128,287870.46,4.07,0.9359
MA,736,21.12,-9.57,125,119291.62,3.78,0.8302
MG,11496,11.54,-13.24,519,1573508.2,4.16,0.9549
MS,708,15.19,-11.05,68,116754.65,4.14,0.904
MT,902,17.59,-14.36,53,156313.53,4.11,0.9412
PA,969,23.32,-14.07,106,178821.12,3.86,0.8906
PB,531,19.95,-13.26,54,114874.1,4.03,0.8983
PE,1643,17.97,-13.29,153,261739.94,4.02,0.9069
PI,490,18.99,-11.31,66,86660.09,3.93,0.8653
PR,4983,11.53,-13.31,199,676883.06,4.21,0.9601
RJ,12698,14.85,-11.76,1495,1811623.42,3.9,0.8823
RN,482,18.82,-13.65,44,83034.98,4.11,0.9087
RO,246,18.91,-20.1,7,46031.64,4.13,0.9715
RR,45,28.98,-17.29,5,7739.44,3.64,0.8889
RS,5417,14.82,-13.91,325,742559.78,4.15,0.94
SC,3600,14.48,-11.5,291,518578.28,4.1,0.9192
SE,345,21.03,-10.02,51,58920.85,3.84,0.8522
SP,41127,8.3,-11.08,1820,5163867.22,4.21,0.9557
TO,278,17.23,-12.13,27,49407.99,4.11,0.9029
